     mwg14      | dochod_bud_pra 
----------------+----------------
 30160156822204 |           3438
 30160156822205 |           3405
 30160156822302 |           3558
 30160156822303 |           3361
 30160156822403 |           3305
 30160156822404 |           3335
 30210116776301 |           4132
 30210116776302 |           4236
 30210116776303 |           4130
 30210116776304 |           4694
 30210116776305 |           4284
 30210116776306 |           4360
 30210116776411 |           5296
 30210116776412 |           4144
 30210116776413 |           4336
 30210116776414 |           4509
 30210116776415 |           4520
 30210116776416 |           4681
 30210116776421 |           4349
 30210116776422 |           4310
 30210116776423 |           4192
 30210116776424 |           4344
 30210116776425 |           4443
 30210116776511 |           4520
 30210116776512 |           4926
 30210116776513 |           4583
 30210116776514 |           4736
 30210116776515 |           4785
 30210116776521 |           4524
 30210116776522 |           4418
 30210116776523 |           4421
 30210116776524 |           4387
 30210116776525 |           4592
 30210116776601 |           4387
 30210116776602 |           4240
 30210116776603 |           4601
 30210116776604 |           4141
 30210116776605 |           5217
 30210116776701 |           4484
 30210116776702 |           4328
 30210116776703 |           4445
 30210116776801 |           4426
 30210116776802 |           4906
 30210116776803 |           5014
 30210116776804 |           4943
 30210116776911 |           4495
 30210116776912 |           4530
 30210116776913 |           4616
 30210116776914 |           4551
 30210116776915 |           4455
 30210116776921 |           4448
 30210116776922 |           4245
 30210116776923 |           4182
 30210116776924 |           4726
 30210116777001 |           4179
 30210116777002 |           3931
 30210116777003 |           4319
 30210116777004 |           4511
 30210116777005 |           4342
 30210116777006 |           4280
 30210116777101 |           3906
 30210116777102 |           4422
 30210116777103 |           4392
 30210116777104 |           4243
 30210116777105 |           4188
 30210116777106 |           4354
 30210116777211 |           4364
 30210116777212 |           4382
 30210116777213 |           5451
 30210116777214 |           5075
 30210116777215 |           5159
 30210116777216 |           4344
 30210116777217 |           5225
 30210116777218 |           5265
 30210116777221 |           4816
 30210116777222 |           4851
 30210116777223 |           5001
 30210116777224 |           5199
 30210116777225 |           5069
 30210116777301 |           4069
 30210116777302 |           4194
 30210116777303 |           4531
 30210116777401 |           4447
 30210116777402 |           4493
 30210116777511 |           4942
 30210116777512 |           4911
 30210116777513 |           4980
 30210116777514 |           5077
 30210116777515 |           4328
 30210116777521 |           4187
 30210116777522 |           4429
 30210116777523 |           4312
 30210116777524 |           4255
 30210116777611 |           4269
 30210116777612 |           4091
 30210116777613 |           4218
 30210116777614 |           4130
 30210116777615 |           4277
 30210116777621 |           4168
 30210116777622 |           4560
 30210116777623 |           4663
 30210116777624 |           4269
 30210116777625 |           4337
 30210116777626 |           4644
 30210116777701 |           3941
 30210116777702 |           3970
 30210116777703 |           4046
 30210116777704 |           4035
 30210116777705 |           3798
 30210216784301 |           3934
 30210216784302 |           4312
 30210216784303 |           4015
 30210216784304 |           3921
 30210216784305 |           4060
 30210216784306 |           4021
 30210216784401 |           4092
 30210216784402 |           4236
 30210216784403 |           4362
 30210216784404 |           4405
 30210216784501 |           4353
 30210216784502 |           4214
 30210216784503 |           4258
 30210216784504 |           4372
 30210216784505 |           4258
 30210216784601 |           4416
 30210216784602 |           4340
 30210216784603 |           4352
 30210216784604 |           4426
 30210216784605 |           4306
 30210216784606 |           4374
 30210216784607 |           4312
 30210216784608 |           4212
 30210216784609 |           4140
 30210216784701 |           4333
 30210216784702 |           4215
 30210216784801 |           4577
 30210216784802 |           4370
 30210216784901 |           4602
 30210216784902 |           4305
 30210216784903 |           3910
 30210216784904 |           3938
 30210216784905 |           4090
 30210216784906 |           4209
 30210216784907 |           4151
 30210216784908 |           4260
 30210426798401 |           4893
 30210426798402 |           4451
 30210426798403 |           4402
 30210426798404 |           4680
 30210426798501 |           4285
 30210426798502 |           4290
 30210426798503 |           4136
 30210426798504 |           4412
 30210426798505 |           4101
 30210426798506 |           4285
 30210426798507 |           4285
 30210426798508 |           4285
 30210426798509 |           4506
 30210426798611 |           4116
 30210426798612 |           3814
 30210426798613 |           4236
 30210426798614 |           4223
 30210426798615 |           4122
 30210426798616 |           4171
 30210426798621 |           4183
 30210426798622 |           4184
 30210426798623 |           4107
 30210426798624 |           4184
 30210426798701 |           4401
 30210426798702 |           4257
 30210426798703 |           4673
 30210426798704 |           4489
 30210426798705 |           4479
 30210426798706 |           4614
 30210426798801 |           4369
 30210426798802 |           4192
 30210426798803 |           4139
 30210426798804 |           3916
 30210426798805 |           3926
 30210426798806 |           3976
 30210426798901 |           4627
 30210426798902 |           4180
 30210426798903 |           4939
 30210426798904 |           4528
 30210426799011 |           4154
 30210426799012 |           4031
 30210426799013 |           4098
 30210426799014 |           4305
 30210426799021 |           4364
 30210426799022 |           4353
 30210426799023 |           4342
 30210426799024 |           4492
 30210426799031 |           4320
 30210426799032 |           4405
 30210426799033 |           4370
 30210426799034 |           5026
 30210426799035 |           4598
 30210426799101 |           4503
 30210426799102 |           4301
 30210426799103 |           4604
 30210426799104 |           5128
 30210426799211 |           3891
 30210426799212 |           4131
 30210426799213 |           4390
 30210426799214 |           4041
 30210426799215 |           4158
 30210426799216 |           3898
 30210426799221 |           4075
 30210426799222 |           4183
 30210426799223 |           4053
 30210426799224 |           4019
 30210426799225 |           3988
 30210426799226 |           5206
 30210426799227 |           5141
 30210426799228 |           4747
 30210426799231 |           4380
 30210426799232 |           6007
 30210426799233 |           4637
 30210426799234 |           4127
 30210426799235 |           4080
 30210426799236 |           5081
 30210426799237 |           4467
 30210426799238 |           5904
 30210426799241 |           4161
 30210426799242 |           3985
 30210426799243 |           4084
 30210426799244 |           4146
 30210426799245 |           3874
 30210426799246 |           4514
 30210426799247 |           4307
 30210426799251 |           4177
 30210426799252 |           4535
 30210426799253 |           4119
