   mwg14_2015   | kod_pocztowy |      nazwa_miejsc      | kod_miejsc |   nazwa_cz_miejsc   | kod_cz_miejsc | kod_gminy | kod_gminy_distr |   nazwa_woj   |  nazwa_pow  |      nazwa_gmi      | segment_gminy 
----------------+--------------+------------------------+------------+---------------------+---------------+-----------+-----------------+---------------+-------------+---------------------+---------------
 30640496734404 | 61-393       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731801 | 61-217       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734501 | 61-392       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734305 | 61-396       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731402 | 61-224       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732104 | 61-238       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731404 | 61-226       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732303 | 61-156       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732304 | 61-161       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731201 | 61-148       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730701 | 61-147       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730702 | 61-147       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730703 | 61-146       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730704 | 61-146       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732401 | 61-131       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732402 | 61-397       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734301 | 61-397       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734302 | 61-397       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734303 | 61-397       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734304 | 61-396       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733005 | 61-166       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733006 | 61-166       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733101 | 61-166       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732901 | 61-163       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733001 | 61-162       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733201 | 61-397       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733301 | 61-215       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496733302 | 61-214       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732201 | 61-164       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732605 | 61-223       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731302 | 61-151       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730403 | 61-142       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730202 | 61-131       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730402 | 61-142       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730602 | 61-142       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730601 | 61-142       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734504 | 61-392       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734505 | 61-389       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734506 | 61-389       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731401 | 61-224       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730604 | 61-144       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731203 | 61-148       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30210426798503 | 62-005       | BOLECHOWO              | 0581913    |                     |               | 3021042   | 3021042         | WIELKOPOLSKIE | POZNAŃSKI   | CZERWONAK           | A2
 30640496731501 | 61-156       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731601 | 61-154       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731602 | 61-153       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731603 | 61-153       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731604 | 61-157       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731605 | 61-158       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731606 | 61-158       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731701 | 61-146       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496731702 | 61-203       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734704 | 61-387       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734502 | 61-389       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730706 | 61-151       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730605 | 61-144       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496730201 | 61-138       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732101 | 61-234       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732102 | 61-235       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496732103 | 61-223       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735603 | 61-376       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735405 | 61-381       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640596743722 | 60-688       | POZNAŃ                 | 0969400    | POZNAŃ-STARE MIASTO | 0970224       | 3064011   | 3064059         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-STARE MIASTO | A1
 30640496735706 | 61-381       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735604 | 61-377       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735501 | 61-373       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735502 | 61-373       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735503 | 61-374       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735504 | 61-374       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735404 | 61-379       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734702 | 61-388       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735403 | 61-386       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735301 | 61-383       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735303 | 61-383       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735304 | 61-382       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735505 | 61-375       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735903 | 61-381       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735601 | 61-375       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735602 | 61-376       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496734703 | 61-387       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735605 | 61-381       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735701 | 61-378       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735703 | 61-378       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735705 | 61-381       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735401 | 61-384       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735402 | 61-384       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496735407 | 61-381       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496727801 | 61-059       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496727802 | 61-059       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496727901 | 61-058       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496727902 | 61-058       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496728201 | 61-058       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30210426798506 | 62-005       | BOLECHOWO              | 0581913    |                     |               | 3021042   | 3021042         | WIELKOPOLSKIE | POZNAŃSKI   | CZERWONAK           | A2
 30640496724902 | 61-015       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496725204 | 61-011       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496725208 | 61-007       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496725301 | 61-012       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496725201 | 61-006       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
 30640496725202 | 61-006       | POZNAŃ                 | 0969400    | POZNAŃ-NOWE MIASTO  | 0969770       | 3064011   | 3064049         | WIELKOPOLSKIE | POZNAŃ      | POZNAŃ-NOWE MIASTO  | A1
